object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Label 1,1.0,0.0,182.0,7745.0,792.0,7761.0,810.0,7752.0933,799.74725
1,0,2,0,Label 1,1.0,0.0,339.0,7611.0,880.0,7627.0,908.0,7617.7524,892.9144
2,0,3,0,Label 1,1.0,0.0,467.0,6264.0,912.0,6294.0,933.0,6278.906,920.97217
3,0,4,0,Label 1,1.0,0.0,241.0,6741.0,934.0,6779.0,952.0,6758.361,942.8921
4,0,5,0,Label 1,1.0,0.0,383.0,10587.0,936.0,10608.0,961.0,10596.888,947.20886
5,0,6,0,Label 1,1.0,0.0,41.0,8008.0,964.0,8013.0,973.0,8010.171,967.8293
6,0,7,0,Label 1,1.0,0.0,37.0,6687.0,978.0,6694.0,986.0,6690.0,981.7568
7,0,8,0,Label 1,1.0,0.0,316.0,7941.0,979.0,7959.0,1006.0,7949.0317,992.0032
8,0,9,0,Label 1,1.0,0.0,295.0,6108.0,987.0,6125.0,1011.0,6116.1357,997.92206
9,0,10,0,Label 1,1.0,0.0,37.0,10651.0,1006.0,10657.0,1015.0,10653.378,1010.08105
10,0,11,0,Label 1,1.0,0.0,177.0,6852.0,1010.0,6864.0,1029.0,6857.3843,1019.44635
11,0,12,0,Label 1,1.0,0.0,247.0,8407.0,1012.0,8422.0,1033.0,8413.983,1021.95953
12,0,13,0,Label 1,1.0,0.0,22.0,10662.0,1020.0,10670.0,1025.0,10665.5,1022.0
13,0,14,0,Label 1,1.0,0.0,176.0,7050.0,1037.0,7071.0,1049.0,7060.756,1042.909
14,0,15,0,Label 1,1.0,0.0,339.0,7834.0,1060.0,7856.0,1083.0,7844.251,1071.3657
15,0,16,0,Label 1,1.0,0.0,296.0,7659.0,1063.0,7684.0,1080.0,7669.5913,1071.8716
16,0,17,0,Label 1,1.0,0.0,14.0,8893.0,1094.0,8897.0,1098.0,8894.5,1095.7142
17,0,18,0,Label 1,1.0,0.0,41.0,8910.0,1096.0,8919.0,1103.0,8914.488,1098.9025
18,0,19,0,Label 1,1.0,0.0,265.0,7706.0,1136.0,7721.0,1160.0,7713.6943,1147.249
19,0,20,0,Label 1,1.0,0.0,17.0,7896.0,1138.0,7900.0,1143.0,7897.4116,1140.1177
20,0,21,0,Label 1,1.0,0.0,21.0,8075.0,1145.0,8081.0,1151.0,8077.381,1147.3334
21,0,22,0,Label 1,1.0,0.0,166.0,6892.0,1171.0,6910.0,1182.0,6900.8857,1176.024
22,0,23,0,Label 1,1.0,0.0,245.0,8824.0,1181.0,8843.0,1199.0,8833.236,1189.5143
23,0,24,0,Label 1,1.0,0.0,311.0,8699.0,1183.0,8718.0,1203.0,8707.775,1192.5917
24,0,25,0,Label 1,1.0,0.0,271.0,6310.0,1193.0,6340.0,1207.0,6324.8633,1199.6531
25,0,26,0,Label 1,1.0,0.0,40.0,8985.0,1197.0,8992.0,1209.0,8988.5,1201.925
26,0,27,0,Label 1,1.0,0.0,348.0,6783.0,1199.0,6805.0,1226.0,6793.7383,1212.135
