object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Label 1,1.0,0.0,32.0,11410.0,7.0,11421.0,14.0,11415.219,10.875
1,0,2,0,Label 1,1.0,0.0,221.0,13771.0,2574.0,13785.0,2594.0,13777.914,2583.3936
2,0,3,0,Label 1,1.0,0.0,291.0,11777.0,2632.0,11792.0,2658.0,11784.323,2643.2715
3,0,4,0,Label 1,1.0,0.0,322.0,11798.0,2923.0,11820.0,2944.0,11807.031,2931.9658
4,0,5,0,Label 1,1.0,0.0,142.0,12374.0,3024.0,12390.0,3035.0,12381.324,3029.3027
5,0,6,0,Label 1,1.0,0.0,148.0,10005.0,3088.0,10024.0,3099.0,10013.581,3092.8176
6,0,7,0,Label 1,1.0,0.0,234.0,13113.0,3096.0,13131.0,3117.0,13122.552,3105.987
7,0,8,0,Label 1,1.0,0.0,67.0,13103.0,3128.0,13119.0,3135.0,13111.313,3130.6567
8,0,9,0,Label 1,1.0,0.0,164.0,11723.0,3149.0,11738.0,3164.0,11730.104,3156.134
9,0,10,0,Label 1,1.0,0.0,373.0,9378.0,3223.0,9406.0,3243.0,9391.721,3232.142
10,0,11,0,Label 1,1.0,0.0,211.0,12434.0,3229.0,12450.0,3246.0,12441.498,3236.711
11,0,12,0,Label 1,1.0,0.0,395.0,10531.0,3309.0,10550.0,3337.0,10540.628,3322.2659
12,0,13,0,Label 1,1.0,0.0,316.0,11540.0,3357.0,11557.0,3384.0,11548.098,3370.2659
13,0,14,0,Label 1,1.0,0.0,208.0,9866.0,3388.0,9889.0,3414.0,9878.355,3400.2595
14,0,15,0,Label 1,1.0,0.0,25.0,11420.0,3394.0,11425.0,3401.0,11421.8,3397.56
15,0,16,0,Label 1,1.0,0.0,215.0,11422.0,3416.0,11439.0,3437.0,11430.163,3425.963
16,0,17,0,Label 1,1.0,0.0,322.0,9723.0,3536.0,9744.0,3563.0,9732.605,3549.382
17,0,18,0,Label 1,1.0,0.0,31.0,13145.0,3578.0,13150.0,3586.0,13146.936,3581.6128
18,0,19,0,Label 1,1.0,0.0,211.0,13551.0,3615.0,13568.0,3633.0,13559.317,3622.8389
19,0,20,0,Label 1,1.0,0.0,421.0,10501.0,3633.0,10522.0,3660.0,10510.444,3646.2852
20,0,21,0,Label 1,1.0,0.0,39.0,14984.0,3709.0,14990.0,3718.0,14986.513,3712.7437
21,0,22,0,Label 1,1.0,0.0,292.0,11904.0,3771.0,11925.0,3792.0,11915.059,3780.9246
22,0,23,0,Label 1,1.0,0.0,325.0,9231.0,3866.0,9257.0,3883.0,9244.394,3874.3784
